,Unnamed: 0,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
3,3,2014,ACURA,MDX 4WD,SUV - SMALL,3.5,6.0,AS6,0.0,12.7,9.1,11.1,25,274.8381346241895
20,20,2014,AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AS8,0.0,11.5,8.1,10.0,28,250.8390019451026
30,30,2014,AUDI,A8,MID-SIZE,3.0,6.0,AS8,1.6325301204819278,13.1,8.8,11.2,25,274.8381346241895
42,42,2014,AUDI,Q7,SUV - STANDARD,3.0,5.797676669893514,AS8,0.0,15.1,10.9,13.2,21,306.8369781963053
43,43,2014,AUDI,Q7 TDI CLEAN DIESEL,SUV - STANDARD,3.0,6.0,AS8,1.0,12.9,8.4,10.9,26,266.8384237311605
48,48,2014,AUDI,R8 SPYDER,TWO-SEATER,3.3240384615384615,8.0,A7,0.0,17.6,11.0,14.6,19,322.8363999823632
49,49,2014,AUDI,R8 SPYDER,TWO-SEATER,4.2,8.0,M6,0.0,21.2,13.4,17.7,16,346.8355326614501
60,60,2014,AUDI,S6,MID-SIZE,4.0,8.0,A7,0.0,14.2,9.7,12.2,23,290.8375564102474
66,66,2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,0.0,11.5,8.8,10.3,27,258.8387128381316
92,92,2014,BMW,428i COUPE,COMPACT,2.0,4.0,M6,0.0,10.4,6.7,8.7,32,218.84015837298676
101,101,2014,BMW,535i xDRIVE,MID-SIZE,3.0,6.0,A8,0.0,11.9,8.0,10.1,28,250.8390019451026
138,138,2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6.0,M6,0.0,12.7,9.0,11.0,26,266.8384237311605
142,142,2014,BUICK,ENCORE,SUV - SMALL,1.4,4.0,AS6,3.0,9.5,7.2,8.5,33,210.84044747995782
164,164,2014,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4.0,AS6,0.0,11.9,7.9,10.1,28,250.8390019451026
165,165,2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6.0,AS8,3.0,12.9,8.2,10.8,26,266.8384237311605
168,168,2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6.0,AS8,0.0,15.1,9.9,12.8,22,298.83726730327635
171,171,2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6.0,AS6,3.0,12.8,9.1,11.1,25,274.8381346241895
